data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer,enforcer_name,max_dist,snapshot_id,algo,galgo,AIL,dm,am,AAIL,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_anonymized_entities,num_raw_edges,num_anonymized_edges,anonymized_anonymity,anonymized_attribute_anonymity,anonymized_degree_anonymity,num_removed_entities,num_removed_edges,fake+discarded
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.00,gs,gs,0,2,tanga,ad2,0.2519248393647,0.250726754872693,0.253122923856704,0.0133604753574658,40,3356,5564,41075,4439,3396,7178,46639,1,10,1,1083,1614,1123
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,4,-1,1,-1,km,gs#0.00,gs,gs,0,9,tanga,ad2,0.151332293939441,0.150940563788436,0.151724024090445,0.0162772547347999,69,4292,8157,19045,4986,4361,9350,27202,1,4,1,694,1193,763
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,2,-1,1,-1,km,gs#0.00,gs,gs,0,3,tanga,ad2,0.11018802554755,0.110115386350563,0.110260664744535,0.0000828,0,3968,6246,3726,4459,3968,7220,9972,1,2,1,491,974,491
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0,9,tanga,ad2,0.299014709960253,0.297860766952755,0.300168652967748,0.0182706949277071,60,3543,6846,53267,4986,3603,9350,60113,1,10,1,1443,2504,1503
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.00,gs,gs,0,3,tanga,ad2,0.294303051376379,0.293297747571528,0.295308355181229,0.0153480556613432,45,3183,5321,38378,4459,3228,7220,43699,1,10,1,1276,1899,1321
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.00,gs,gs,0,1,tanga,ad2,0.291311023344233,0.290375736727799,0.292246309960667,0.0161866091346831,48,3177,5338,38517,4429,3225,7145,43855,1,10,1,1252,1807,1300
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,2,-1,1,-1,km,gs#0.00,gs,gs,0,6,tanga,ad2,0.0855629497099038,0.0854691294606628,0.0856567699591438,0.000103654526378383,0,4141,6757,4237,4528,4141,7425,10994,1,2,1,387,668,387
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,2,-1,1,-1,km,gs#0.00,gs,gs,0,7,tanga,ad2,0.0865468532438809,0.0864500652969111,0.0866436411908496,0.000107050061835659,0,4227,7072,4561,4627,4227,7777,11633,1,2,1,400,705,400
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,2,-1,1,-1,km,gs#0.00,gs,gs,0,2,tanga,ad2,0.144236126825558,0.144177438493039,0.144294815158075,0.0000696,0,3799,5892,3386,4439,3799,7178,9278,1,2,1,640,1286,640
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,4,-1,1,-1,km,gs#0.00,gs,gs,0,5,tanga,ad2,0.14412369379013,0.143771474833131,0.144475912747129,0.0136216591418966,52,3883,6380,13467,4483,3935,7287,19847,1,4,1,600,907,652
