data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer,enforcer_name,max_dist,t,algo,galgo,adm,dm,am,radm,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_anonymized_entities,num_raw_edges,num_anonymized_edges,anonymized_anonymity,anonymized_attribute_anonymity,anonymized_degree_anonymity,num_removed_entities,num_removed_edges
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.25,gs,gs,0.25,9,tanga,ad2,0.552216254606674,0.5519711844793,0.552461324734047,0.000630397787764588,0,828,562,4115,1848,828,5594,4677,1,8,1,1020,5032
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.25,gs,gs,0.25,8,tanga,ad2,0.596640196593503,0.596420641668887,0.59685975151812,0.000622271250831338,0,718,414,3808,1779,718,5128,4222,1,6,1,1061,4714
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0,5,tanga,ad2,0.608568952410242,0.608356963734568,0.608780941085917,0.0128987473944764,7,564,322,2864,1433,571,3578,3186,1,10,1,869,3256
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,3,-1,km,gs#0.25,gs,gs,0.25,8,tanga,ad2,0.596613839216893,0.596432332619554,0.596795345814231,0.000578367550421007,0,718,395,3536,1779,718,5128,3931,1,10,1,1061,4733
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.25,gs,gs,0.25,4,tanga,ad2,0.603466579492252,0.603224448931506,0.603708710052995,0.000724058657465874,0,521,304,2676,1313,521,3146,2980,1,10,1,792,2842
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.25,gs,gs,0.25,9,tanga,ad2,0.592257816277486,0.592018939979572,0.5924966925754,0.000702180291339036,0,754,476,4448,1848,754,5594,4924,1,10,1,1094,5118
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,2,-1,1,-1,km,gs#0.25,gs,gs,0.25,6,tanga,ad2,0.338234151175484,0.338129521396768,0.338338780954195,0.000228956497224591,0,1020,1178,1235,1541,1020,4068,2413,1,2,1,521,2890
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,2,-1,1,-1,km,gs#0.25,gs,gs,0.25,1,tanga,ad2,0.299428474418069,0.299366460833526,0.299490488002613,0.000143325830097511,0,632,599,609,902,632,1702,1208,1,2,1,270,1103
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0,9,tanga,ad2,0.596584564545203,0.596251916216827,0.596917212873582,0.0101835326118167,7,749,628,5763,1848,756,5594,6391,1,10,1,1099,4966
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,4,-1,1,-1,km,gs#0.25,gs,gs,0.25,0,tanga,ad2,0.024399784581224,0.0242035322359397,0.0245960369265082,0.000335381232326702,0,527,548,1517,540,527,847,2065,1,4,1,13,299
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,2,-1,1,-1,km,gs#0.25,gs,gs,0.25,8,tanga,ad2,0.318874381045479,0.318755270801915,0.31899349128904,0.00024164578632053,0,1212,1531,1601,1779,1212,5128,3132,1,2,1,567,3597
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.25,gs,gs,0.25,3,tanga,ad2,0.634736272364445,0.634557270020916,0.634915274707972,0.000604721584889164,0,436,248,2229,1193,436,2685,2477,1,10,1,757,2437
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.25,gs,gs,0.25,6,tanga,ad2,0.629662173639178,0.629481601949905,0.629842745328453,0.000588208054667723,0,571,303,2878,1541,571,4068,3181,1,10,1,970,3765
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.25,gs,gs,0.25,5,tanga,ad2,0.622729835607863,0.622494812487432,0.622964858728298,0.000740781983949471,0,541,291,2689,1433,541,3578,2980,1,10,1,892,3287
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,2,-1,1,-1,km,gs#0.25,gs,gs,0.25,2,tanga,ad2,0.36995645675525,0.369881968115699,0.370030945394799,0.000183442035890191,0,673,709,751,1068,673,2212,1460,1,2,1,395,1503
